45;X战警;6.8;374;2000年07月13日;x zhan jing;xiu  jie ke man,pa te li ke  si tu er te,yi en  mai ke lai en,bu lai en  xin ge;;变种人大战黑暗恶势力;http://img.funshion.com/pictures/jupiter/000/045/45_m_poster.jpg?t=8582;http://img.funshion.com/pictures/jupiter/000/045/45_m_still.jpg?t=8015;休·杰克曼, 帕特里克·斯图尔特,伊恩·麦克莱恩;布莱恩·辛格;vipfree;1
46;X战警2;6.9;602;2003年05月02日;x zhan jing 2;pa te li ke  si tu er te,xiu  jie ke man,yi en  mai ke lai en,ha li  bei rui,fa mi ke  zhan sen,bu lai en  xin ge;;超级变种人类炫酷归来;http://img.funshion.com/pictures/jupiter/000/046/46_m_poster.jpg?t=1007;http://img.funshion.com/pictures/jupiter/000/046/46_m_still.jpg?t=4167;帕特里克·斯图尔特,休·杰克曼,伊恩·麦克莱恩,哈莉·贝瑞,法米克·詹森;布莱恩·辛格;vipfree;1
48;阿波罗13号;6.5;653;1995年10月12日;a bo luo 1 3 hao;tang mu  han ke si,bi er  pa ke si dun,kai wen  bei ken,ai de  ha li si,jia li  xi ni si,lang  huo hua de;;汤姆汉克斯演绎登月球;http://img.funshion.com/pictures/jupiter/000/048/48_m_poster.jpg?t=4577;http://img.funshion.com/pictures/jupiter/000/048/48_m_still.jpg?t=8742;汤姆·汉克斯,比尔·帕克斯顿,凯文·贝肯,艾德·哈里斯,加里·西尼斯;朗·霍华德;free;1
50;阿呆与阿瓜;7.3;951;1994年12月16日;a dai yu a gua;jin  kai rui,jie fu  dan ni er si,luo lun  he li,mai ke  si ta er,kai lun  da fei,zha er si  luo ji te,wei duo li ya  luo wei er,te rui  jia er,fei er dun  pai rui,luo bu  mo lan,bi de  fa la li,bao bi  fa la li;Dumb Happens / Dumb and Dumber,M;搞笑的一对儿呆瓜活宝;http://img.funshion.com/pictures/jupiter/000/050/50_m_poster.jpg?t=6699;http://img.funshion.com/pictures/jupiter/000/050/50_m_still.jpg?t=3335;金·凯瑞,杰夫·丹尼尔斯,罗伦·荷莉,迈克·斯塔尔,凯伦·达菲,查尔斯·罗基特,维多利亚·洛威尔,特瑞·加尔,菲尔顿·派瑞,罗布·莫兰,Joe Baker,Hank Brandt,Brady Bluhm,Cam Neely,Brad Lockerman;彼得·法拉利,鲍比·法拉利;free;1
55;阿甘正传;9;813;1994年06月23日;a gan zheng chuan;tang mu  han ke si,luo bin  huai te,jia li  xi ni si,fu lei si te  gang pu;福雷斯特·冈普;汉克斯经典励志人生;http://img.funshion.com/pictures/jupiter/000/055/55_m_poster.jpg?t=8463;http://img.funshion.com/pictures/jupiter/000/055/55_m_still.jpg?t=8097;汤姆·汉克斯,罗宾·怀特,加里·西尼斯;福雷斯特·冈普;vipfree;1
59;情归阿拉巴马;6.5;411;2002年09月20日;qing gui a la ba ma;rui qian  wei se si peng,qiao shen  lu ka si,an di  tan na te;;高富帅和矮穷挫争女神;http://img.funshion.com/pictures/jupiter/000/059/59_m_poster.jpg?t=4501;http://img.funshion.com/pictures/jupiter/000/059/59_m_still.jpg?t=7764;瑞茜·威瑟斯彭,乔什·卢卡斯;安迪·坦纳特;vipfree;1
63;阿郎的故事;6.5;91083;1989年03月16日;a lang de gu shi;zhou run fa,zhang ai jia,huang kun xuan,wu meng da,du qi feng;又见阿郎(台);演绎赛车手的浪子情深;http://img.funshion.com/pictures/jupiter/000/063/63_m_poster.jpg?t=2743;http://img.funshion.com/pictures/jupiter/000/063/63_m_still.jpg?t=9711;周润发,张艾嘉,黄坤玄,吴孟达;杜琪峰;free;1
82;激情妒火线;6.6;775;1999年12月03日;ai dao jin tou;la er fu  fei yin si,zhu li an  mo er,si di fen  rui,ni er  qiao dan;爱到尽头;婚外情也可以悲情感人;http://img.funshion.com/pictures/jupiter/000/082/82_m_poster.jpg?t=7329;http://img.funshion.com/pictures/jupiter/000/082/82_m_still.jpg?t=1392;拉尔夫·费因斯,朱丽安·摩尔,斯蒂芬·瑞;尼尔·乔丹;free;1
89;爱国者;6.9;287;2000年06月28日;ai guo zhe;mei er  ji bu sen,xi si  lai jie,qiao li  li c h a d e sen,zhan sen  ai sa ke,ke li si  ku po,li sha  bu rui na,tang mu  wei er jin sen,luo lan  ai mo li qi;孤军雄心;吉普森再次拿起武器;http://img.funshion.com/pictures/jupiter/000/089/89_m_poster.jpg?t=9182;http://img.funshion.com/pictures/jupiter/000/089/89_m_still.jpg?t=1758;梅尔·吉布森,希斯·莱杰,乔莉·理查德森,詹森·艾萨克,克里斯·库珀,丽莎·布瑞纳,汤姆·威尔金森;罗兰·艾默里奇;free;1
94;爱丽斯梦游仙境;6.7;272995;1972年11月20日;ai li si meng you xian jing;mi ya  hua xi ke wo si ka,yue han ni  de pu,di mu  bo dun;Alice in Wonderland;爱丽丝树洞奇遇记;http://img.funshion.com/pictures/jupiter/000/094/94_m_poster.jpg?t=1537;http://img.funshion.com/pictures/jupiter/000/094/94_m_still.jpg?t=3228;米娅·华希科沃斯卡,约翰尼·德普;蒂姆·波顿;vipfree;1
96;爱你不后悔;7.3;893;2002年08月08日;ai ni bu hou hui;zheng jun hao,shen en qing,jin ru zhen,mo ji en;他喜欢的是你;申恩庆幽默温馨浪漫片;http://img.funshion.com/pictures/jupiter/000/096/96_m_poster.jpg?t=5928;http://img.funshion.com/pictures/jupiter/000/096/96_m_still.jpg?t=8137;郑俊浩,申恩庆,金汝珍;莫吉恩;free;1
138;安娜玛德莲娜;6.6;906;1998年05月28日;an na ma de lian na;jin cheng wu,guo fu cheng,chen hui lin,he chao yi,yuan yong yi,zhang guo rong,zhang xue you,zhong zhen,xi zhong wen;Anna Madelina;金城武郭富城争掠芳心;http://img.funshion.com/pictures/jupiter/000/138/138_m_poster.jpg?t=7437;http://img.funshion.com/pictures/jupiter/000/138/138_m_still.jpg?t=3957;金城武,郭富城,陈慧琳,何超仪,袁咏仪,张国荣,张学友,钟甄;奚仲文;free;1
146;暗流;7;636;2000年09月27日;an liu;rang lei nuo,wen sen te ka suo,na di ya fa er si,ma xiu ka suo wei ci;;让雷诺铁血警探破奇案;http://img.funshion.com/pictures/jupiter/000/146/146_m_poster.jpg?t=6145;http://img.funshion.com/pictures/jupiter/000/146/146_m_still.jpg?t=4422;让·雷诺,文森特·卡索,娜迪亚·法尔丝;马修·卡索维茨;free;1
149;暗战;7.1;64647;1999年09月23日;an zhan;liu de hua,liu qing yun,meng jia hui,li zi xiong,du qi feng;谈判专家;双刘联袂演绎经典港片;41a82d250e025789ec8e0bd8380a11b5;http://img.funshion.com/pictures/jupiter/000/149/149_m_still.jpg?t=9172;刘德华,刘青云,蒙嘉慧,李子雄;杜琪峰;free;1
150;暗战2;6.8;776;2001年12月27日;an zhan 2;zheng yi jian,liu qing yun,lin xi lei,du qi feng,luo yong chang;;郑伊健反派依旧帅翻天;http://img.funshion.com/pictures/jupiter/000/150/150_m_poster.jpg?t=2081;http://img.funshion.com/pictures/jupiter/000/150/150_m_still.jpg?t=3225;郑伊健,刘青云,林熙蕾;杜琪峰, 罗永昌;free;1
204;百年好合;7;729;2003年01月23日;bai nian hao he;zheng xiu wen,gu tian le,li bing bing,du qi feng,wei jia hui;Love for All Seasons;杜琪峰携手郑秀文贺岁;http://img.funshion.com/pictures/jupiter/000/204/204_m_poster.jpg?t=1938;http://img.funshion.com/pictures/jupiter/000/204/204_m_still.jpg?t=7204;郑秀文,古天乐,李冰冰;杜琪峰,韦家辉;free;1
232;北京乐与路;8.1;52052;2001年10月25日;bei jing le yu lu;shu qi,wu yan zu,geng le,wu yao han,zhang wan ting;;舒淇吴彦祖绎北漂青年;http://img.funshion.com/pictures/jupiter/000/232/232_m_poster.jpg?t=7712;http://img.funshion.com/pictures/media/list/232/232_530_298_ott_still.jpg?1410157364;舒淇,吴彦祖,耿乐,吴耀汉;张婉婷;free;1
238;奔腾年代;6.9;241;2003年07月25日;ben teng nian dai;tuo bi ma kui er,jie fu bu li ji si,gai rui luo si;;奥斯卡最佳影片提名;http://img.funshion.com/pictures/jupiter/000/238/238_m_poster.jpg?t=7091;http://img.funshion.com/pictures/jupiter/000/238/238_m_still.jpg?t=6724;托比·马奎尔,杰夫·布里吉斯;盖瑞·罗斯;free;1
253;蝙蝠侠;7.3;64711;1989年06月19日;bian fu xia;mai ke er  ji dun,jie ke  ni ke er sen,jin  bei xin ge,luo bo te  wu er,pa te  heng ge er,di mu  bo dun;;蝙蝠侠与小丑生死对撞;http://img.funshion.com/pictures/jupiter/000/253/253_m_poster.jpg?t=3827;http://img.funshion.com/pictures/jupiter/000/253/253_m_still.jpg?t=6412;迈克尔·基顿,杰克·尼科尔森,金·贝辛格,罗伯特·乌尔,帕特·亨格尔;蒂姆·波顿;free;1
255;蝙蝠侠归来;6.5;82852;1992年06月19日;bian fu xia gui lai;mai ke er  ji dun,dan ni  de wei tuo  mi xie er  fei fo,mai ke er  gao fu,di mu  bo dun;蝙蝠侠2,蝙蝠侠重现江湖,蝙蝠侠2：蝙蝠侠归来;初代猫女演绎别样风情;c7e5c4721e6f3b04f594b47a5dcf17ee;http://img.funshion.com/pictures/jupiter/000/255/255_m_still.jpg?t=3777;迈克尔·基顿,丹尼·德维托,米歇尔·菲佛,迈克尔·高夫;蒂姆·波顿;free;1
256;蝙蝠侠大战罗宾;7.1;976;1997年06月20日;bian fu xia yu luo bin;jie sen ao ma la,si tu er te ai lun,da wei mai kao mu,jie yi ou li wa;;蝙蝠侠竟然痛扁小罗宾;http://img.funshion.com/pictures/jupiter/000/256/256_m_poster.jpg?t=1817;http://img.funshion.com/pictures/jupiter/000/256/256_m_still.jpg?t=1136;杰森·奥玛拉,斯图尔特·艾伦,大卫·麦考姆;杰伊·欧力瓦;vipfree;1
267;速度与激情2;7.5;67852;2003年06月03日;su du yu ji qing 2;bao luo  wo ke,yi wa  men de si,tai rui si  ji bu sen,lu da  ke li si,ke er  hao se,tang mu  ba rui,zhan mu si  rui ma er,a mo li  nuo la si ke,mai ke er  yi lei,ai de hua duo  fen lai,xiao ma ke  bu en,mo  jia li ni,yue han  xin ge dun;;豪车美女枪战一应俱全;http://img.funshion.com/pictures/media/list/267/267_360_504_ott_poster.jpg?1426242390;http://img.funshion.com/pictures/media/list/267/267_530_298_ott_still.jpg?1426242390;保罗·沃克,伊娃·门德斯,泰瑞斯·吉布森,卢达·克里斯,科尔·豪瑟,汤姆·巴瑞,詹姆斯·瑞马尔,阿莫里·诺拉斯科 Amaury Nolasco,迈克尔·伊雷,爱德华多·芬莱,小马克·布恩,莫·加里尼;约翰·辛格顿;vipfree;1
268;飙风战警;7;324;1999年06月30日;biao feng zhan jing;wei er shi mi si,kai wen ke lai en,ba li suo nan fei er de;超智特务显神通;史密斯飙风捉拿怪博士;http://img.funshion.com/pictures/jupiter/000/268/268_m_poster.jpg?t=6644;http://img.funshion.com/pictures/jupiter/000/268/268_m_still.jpg?t=2331;威尔·史密斯,凯文·克莱恩;巴里·索南菲尔德;vipfree;1
273;冰川时代;9.3;65839;2002年03月15日;bing chuan shi dai;lei  luo ma nuo,dan ni si  li rui,yue han  lei ji zha mo,ke li si  wei qi,ka luo si  sha er dan ha;冰河世纪;好莱坞里程碑动画作品;http://img.funshion.com/pictures/jupiter/000/273/273_m_poster.jpg?t=1740;http://img.funshion.com/pictures/media/list/273/273_530_298_ott_still.jpg?1433228996;雷·罗马诺,丹尼斯·利瑞,约翰·雷吉扎莫;克里斯·韦奇,卡洛斯·沙尔丹哈;free;1
298;不可饶恕 国语版;6.7;155;1992年08月03日;bu ke rao shu;ke lin te  yi si te wu de,ji en  ha ke man,mo gen  fu li man,ke lin te  yi si te wu de;豪情盖天,杀无赦,不被饶恕的人;65届奥斯卡最佳影片;http://img.funshion.com/pictures/jupiter/000/298/298_m_poster.jpg?t=7659;http://img.funshion.com/pictures/jupiter/000/298/298_m_still.jpg?t=2849;克林特·伊斯特伍德,吉恩·哈克曼,摩根·弗里曼;克林特·伊斯特伍德;free;1
302;不一样的爸爸;7.1;180;2001年12月03日;bu yi yang de ba ba;xi en  pan,da ke ta  fan ning,jie qian  ni er sen;;我的爸爸山姆只有7岁;http://img.funshion.com/pictures/jupiter/000/302/302_m_poster.jpg?t=8871;http://img.funshion.com/pictures/jupiter/000/302/302_m_still.jpg?t=5644;西恩·潘 ,达科塔·范宁;杰茜·尼尔森;vipfree;1
322;战栗空间;6.6;244;2002年03月29日;zhan li kong jian;zhu di  fu si te,ke li si ting  si tu er te,fu li si te  hui te ke,de huai te  you ke mu,jie rui de  lai tuo,da wei  fen qi;房不胜防,颤栗空间;古怪密室里的惊心动魄;http://img.funshion.com/pictures/jupiter/000/322/322_m_poster.jpg?t=5975;http://img.funshion.com/pictures/jupiter/000/322/322_m_still.jpg?t=7789;朱迪·福斯特,克里斯汀·斯图尔特,福里斯特·惠特克,德怀特·尤科姆,杰瑞德·莱托;大卫·芬奇;free;1
327;超级名模;6.6;764;2001年09月28日;chao ji ming mo;ben  si di le,ou wen  wei er xun,ke li si di na  tai le,wei er  fa rui er,mi la  qiao wo wei qi,ben  si di le;;超级男模爆笑刺杀总统;http://img.funshion.com/pictures/jupiter/000/327/327_m_poster.jpg?t=3764;http://img.funshion.com/pictures/jupiter/000/327/327_m_still.jpg?t=5681;本·斯蒂勒,欧文·威尔逊,克里斯蒂娜·泰勒,威尔·法瑞尔,米拉·乔沃维奇;本·斯蒂勒;free;1
